kode_wilayah,nama_wilayah,level,kode_parent
1103031001,SAPIK,desa,1103031
1103031002,DURIAN KAWAN,desa,1103031
1103031003,ALAI,desa,1103031
1103031004,PAYA DAPUR,desa,1103031
1103031005,PUCUK LEMBANG,desa,1103031
1103031006,LAWE BULUH DIDI,desa,1103031
1103031007,LAWE SAWAH,desa,1103031
1103031008,PAYA LABA,desa,1103031
1103031009,LAWE CIMANOK,desa,1103031
1103040,KLUET UTARA,kecamatan,1103
1103040001,KEDAI PADANG,desa,1103040
1103040002,PASI KUALA BA'U,desa,1103040
1103040003,SUAQ GEURINGGENG,desa,1103040
1103040004,SIMPANG LHEE,desa,1103040
1103040005,SIMPANG EMPAT,desa,1103040
1103040006,JAMBO MANYANG,desa,1103040
1103040007,LIMAU PURUT,desa,1103040
1103040008,PULO KAMBING,desa,1103040
1103040009,KAMPUNG PAYA,desa,1103040
1103040010,KRUENG BATU,desa,1103040
1103040011,GUNONG PULO,desa,1103040
1103040012,PULO IE I,desa,1103040
1103040013,KRUENG BATEE,desa,1103040
1103040014,PASI KUALA ASAHAN,desa,1103040
1103040015,FAJAR HARAPAN,desa,1103040
1103040036,KRUENG KLUET,desa,1103040
1103040039,ALUR MAS,desa,1103040
1103040050,KAMPUNG TINGGI,desa,1103040
1103040051,RUAK,desa,1103040
1103040052,KOTAFAJAR,desa,1103040
1103040053,GUNUNG PUDUNG,desa,1103040
1103041,PASIE RAJA,kecamatan,1103
1103041001,UJUNG PADANG ASAHAN,desa,1103041
1103041002,PULO IE II,desa,1103041
1103041003,IE MIRAH,desa,1103041
1103041004,UJUNG PADANG RASIAN,desa,1103041
1103041005,PASIE RASIAN,desa,1103041
1103041006,TEUPIN GAJAH,desa,1103041
1103041007,GAMPONG BARO,desa,1103041
1103041008,KRUENG KALEE,desa,1103041
1103041009,LHOK SIALANG RAYEUK,desa,1103041
1103041010,LHOK SIALANG CUT,desa,1103041
1103041011,PAYA ATEUK,desa,1103041
1103041012,SILOLO,desa,1103041
1103041013,KAMPUNG BARU,desa,1103041
1103041014,SEUNEUBOK,desa,1103041
1103041015,LADANG TUHA,desa,1103041
1103041016,PANTON BILI,desa,1103041
1103041017,LADANG TEUNGOH,desa,1103041
1103041018,PUCOK KRUENG,desa,1103041
1103041019,MATA IE,desa,1103041
1103041020,UJONG BATEE,desa,1103041
1103041021,PANTE RAJA,desa,1103041
1103042,KLUET TENGAH,kecamatan,1103
1103042001,JAMBO PAPAN,desa,1103042
1103042002,KOTO INDARUNG,desa,1103042
1103042003,SIURAI-URAI,desa,1103042
1103042004,MALAKA,desa,1103042
1103042005,LAWE MELANG,desa,1103042
1103042006,KOTO,desa,1103042
1103042007,KAMPUNG SAWAH,desa,1103042
1103042008,KAMPUNG PADANG,desa,1103042
1103042009,PULO AIR,desa,1103042
1103042010,MERSAK,desa,1103042
1103042011,SIMPANG DUA,desa,1103042
1103042012,SIMPANG TIGA,desa,1103042
1103042013,ALUR KEUJRUN,desa,1103042
1103050,TAPAKTUAN,kecamatan,1103
1103050001,GUNUNG KERAMBIL,desa,1103050
1103050002,AIR BERUDANG,desa,1103050
1103050003,LHOK KEUTAPANG,desa,1103050
1103050004,HILIR,desa,1103050
1103050005,PASAR,desa,1103050
1103050006,PADANG,desa,1103050
1103050007,TEPI AIR,desa,1103050
1103050008,HULU,desa,1103050
1103050009,JAMBO APHA,desa,1103050
1103050010,LHOK BENGKUANG,desa,1103050
1103050011,BATU ITAM,desa,1103050
1103050012,PANJUPIAN,desa,1103050
1103050013,LHOK RUKAM,desa,1103050
1103050014,AIR PINANG,desa,1103050
1103050015,PANTON LUAS,desa,1103050
1103050016,LHOK BENGKUANG TIMUR,desa,1103050
1103060,SAMADUA,kecamatan,1103
1103060001,UJUNG TANAH,desa,1103060
1103060002,PAYONAN GADANG,desa,1103060
1103060003,LUBUK LAYU,desa,1103060
1103060004,SUAQ HULU,desa,1103060
1103060005,LUAR,desa,1103060
1103060006,UJUNG KAMPUNG,desa,1103060
1103060007,TAMPANG,desa,1103060
1103060008,JILATANG,desa,1103060
1103060009,AIR SIALANG HULU,desa,1103060
1103060010,AIR SIALANG TENGAH,desa,1103060
1103060011,AIR SIALANG HILIR.,desa,1103060
1103060012,SUBARANG,desa,1103060
1103060013,GUNUNG KETEK,desa,1103060
1103060014,KUTA BARU,desa,1103060
1103060015,MADAT,desa,1103060
1103060016,DALAM,desa,1103060
1103060017,TENGAH,desa,1103060
1103060018,BALAI,desa,1103060
1103060019,BARU,desa,1103060
1103060020,GADANG,desa,1103060
1103060021,LADANG KASIK PUTIH,desa,1103060
1103060022,LADANG PANTON LUAS,desa,1103060
1103060023,ALUR SEUMERAH,desa,1103060
1103060024,ALUR PINANG,desa,1103060
1103060025,GUNUNG CUT,desa,1103060
1103060026,KUTA BLANG,desa,1103060
1103060027,BATEE TUNGGAI,desa,1103060
